City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,west island,-12.1568,96.8225,24.99,83,75,6.69,CC,1697315018
118,sinop,41.7711,34.8709,14.11,50,0,3.43,TR,1697315018
119,santa ana de yacuma,-13.75,-65.4333,34.97,36,34,3.09,BO,1697315018
120,vernon,50.2581,-119.2691,13.34,71,37,2.06,CA,1697314811
121,namibe,-15.1961,12.1522,18.13,82,100,3.69,AO,1697314782
122,kinablangan,7.6947,126.5503,25.22,82,14,1.82,PH,1697315018
123,ain sefra,32.75,-0.5833,20.9,30,100,2.6,DZ,1697315018
124,utrik,11.2278,169.8474,27.93,79,98,5.43,MH,1697315019
125,cova figueira,14.8905,-24.2934,25.65,78,99,4.03,CV,1697314823
126,la maddalena,41.2142,9.4083,23.03,86,1,8.91,IT,1697315020
127,puerto san jose,13.9256,-90.8244,29.66,76,58,2.95,GT,1697314824
128,leer,53.2316,7.461,9.4,83,66,7.58,DE,1697315020
129,bredasdorp,-34.5322,20.0403,15.4,80,92,9.01,ZA,1697315020
130,sisimiut,66.9395,-53.6735,-2.53,76,19,6.03,GL,1697315020
131,pudozh,61.8099,36.5345,11.08,95,99,6.26,RU,1697315020
132,boundiali,9.5217,-6.4869,26.24,71,54,1.54,CI,1697315021
133,aykhal,66.0,111.5,-11.07,92,52,0.89,RU,1697315021
134,port saint john's,-31.6229,29.5448,17.29,73,99,6.02,ZA,1697315021
135,saint-philippe,-21.3585,55.7679,22.77,81,43,5.01,RE,1697315021
136,samsat,37.5819,38.4742,22.58,34,0,3.6,TR,1697315021
137,vila franca do campo,37.7167,-25.4333,21.6,99,48,3.19,PT,1697315021
138,kerikeri,-35.2268,173.9474,16.62,92,96,0.89,NZ,1697315021
139,sao tome,0.3365,6.7273,26.02,89,75,3.09,ST,1697315022
140,la passe,45.5549,-0.8967,15.55,60,14,3.84,FR,1697315022
141,tiksi,71.6872,128.8694,-10.73,94,100,4.24,RU,1697315022
142,taunsa,30.7048,70.6505,26.19,32,0,3.48,PK,1697315023
143,kourou,5.1552,-52.6478,30.03,70,5,5.56,GF,1697315023
144,kodiak,57.79,-152.4072,5.73,75,0,0.0,US,1697315023
145,port lincoln,-34.7333,135.8667,13.63,71,100,4.98,AU,1697315023
146,college,64.8569,-147.8028,4.33,86,100,0.0,US,1697314824
147,nar'yan-mar,67.6713,53.087,-2.16,93,57,1.79,RU,1697315023
148,kiunga,-6.1219,141.2906,23.12,100,100,0.59,PG,1697315023
149,tolanaro,-25.0319,46.9987,23.04,94,40,2.06,MG,1697315023
150,tashtagol,52.7657,87.8894,5.05,88,100,1.2,RU,1697315023
151,pittsfield,42.4501,-73.2454,12.53,74,100,3.09,US,1697315023
152,rosarito,32.3333,-117.0333,30.51,62,0,5.12,MX,1697315024
153,lethem,3.3803,-59.7968,29.52,59,86,2.74,GY,1697315024
154,rundu,-17.9333,19.7667,27.02,35,90,2.6,NA,1697315024
155,quang ngai,15.1167,108.8,23.94,96,100,4.04,VN,1697315024
156,nuku'alofa,-21.1333,-175.2,24.19,73,20,5.14,TO,1697315024
157,margate,51.3813,1.3862,10.39,70,8,1.79,GB,1697315024
158,talnakh,69.4865,88.3972,1.23,93,100,3.03,RU,1697315024
159,posto fiscal rolim de moura,-13.0833,-62.2667,37.8,29,100,1.76,BR,1697315024
160,lingyuan,41.24,119.4011,11.16,41,94,6.13,CN,1697315024
161,becancour,46.3334,-72.4324,15.86,56,40,4.12,CA,1697314987
162,douentza,14.9951,-2.9517,34.4,14,52,2.58,ML,1697315024
163,cidreira,-30.1811,-50.2056,17.68,78,80,8.09,BR,1697315025
164,daru,-9.0763,143.2092,24.91,88,97,5.62,PG,1697315025
165,naze,28.3667,129.4833,19.51,76,75,5.43,JP,1697314871
166,belmonte,-15.8631,-38.8828,26.03,76,46,3.83,BR,1697315025
167,bor,56.3567,44.0669,10.96,84,98,6.51,RU,1697315026
168,alo,7.4178,6.7371,26.08,90,50,1.16,NG,1697315026
169,alesund,62.4723,6.1549,10.97,70,75,6.17,NO,1697315026
170,dunedin,-45.8742,170.5036,9.89,84,93,4.47,NZ,1697315026
171,verkhnevilyuysk,63.4453,120.3167,-11.14,92,5,2.24,RU,1697315027
172,kongolo,-5.3833,27.0,24.06,75,99,1.19,CD,1697315027
173,hauterive,46.0901,3.4459,13.42,63,98,2.32,FR,1697315027
174,zhalantun,48.0,122.7167,5.67,41,0,7.01,CN,1697315028
175,hami,42.8,93.45,17.1,22,8,1.37,CN,1697315028
176,remire-montjoly,4.9167,-52.2667,30.02,66,0,4.63,GF,1697315028
177,ar ruways,24.1103,52.7306,29.59,59,0,2.0,AE,1697315028
178,peace river,56.2501,-117.286,12.17,71,75,3.6,CA,1697315028
179,nacala,-14.5428,40.6728,25.54,91,10,4.12,MZ,1697315028
180,lusambo,-4.9667,23.45,21.8,98,99,0.85,CD,1697315029
181,nemuro,43.3236,145.575,13.91,69,100,1.5,JP,1697315029
182,sengiley,53.9622,48.7944,11.04,64,99,5.68,RU,1697315029
